nohup: ignoring input
正在导入数据...
成功导入2379患者，共2379个检查

===== 启动 GPU 向量化蚁群算法 (ACO) =====
ACO 初始化完成: N=2379, Ants=100, Alpha=1.0, Beta=5.0
[ACO] New Best at iter 0: -226697200.00
[ACO] New Best at iter 1: -221072800.00
[ACO] New Best at iter 2: -209502400.00
[ACO] New Best at iter 6: -208537200.00
[ACO] New Best at iter 8: -204949600.00
Iter 10/1000 | Best: -204949600.00 | Time: 1.783s
[ACO] New Best at iter 14: -198973600.00
Iter 20/1000 | Best: -198973600.00 | Time: 1.773s
[ACO] New Best at iter 28: -185908400.00
Iter 30/1000 | Best: -185908400.00 | Time: 1.744s
Iter 40/1000 | Best: -185908400.00 | Time: 1.283s
Iter 50/1000 | Best: -185908400.00 | Time: 1.306s
Iter 60/1000 | Best: -185908400.00 | Time: 1.281s
Iter 70/1000 | Best: -185908400.00 | Time: 1.300s
Iter 80/1000 | Best: -185908400.00 | Time: 1.295s
Iter 90/1000 | Best: -185908400.00 | Time: 1.305s
Iter 100/1000 | Best: -185908400.00 | Time: 1.311s
Iter 110/1000 | Best: -185908400.00 | Time: 1.754s
Iter 120/1000 | Best: -185908400.00 | Time: 1.759s
Iter 130/1000 | Best: -185908400.00 | Time: 1.777s
Iter 140/1000 | Best: -185908400.00 | Time: 1.742s
Iter 150/1000 | Best: -185908400.00 | Time: 1.742s
Iter 160/1000 | Best: -185908400.00 | Time: 1.764s
Iter 170/1000 | Best: -185908400.00 | Time: 1.303s
Iter 180/1000 | Best: -185908400.00 | Time: 1.283s
Iter 190/1000 | Best: -185908400.00 | Time: 1.284s
Iter 200/1000 | Best: -185908400.00 | Time: 1.304s
Iter 210/1000 | Best: -185908400.00 | Time: 1.288s
Iter 220/1000 | Best: -185908400.00 | Time: 1.321s
Iter 230/1000 | Best: -185908400.00 | Time: 1.327s
Iter 240/1000 | Best: -185908400.00 | Time: 1.333s
Iter 250/1000 | Best: -185908400.00 | Time: 1.327s
Iter 260/1000 | Best: -185908400.00 | Time: 1.297s
Iter 270/1000 | Best: -185908400.00 | Time: 1.284s
[ACO] New Best at iter 278: -184644800.00
Iter 280/1000 | Best: -184644800.00 | Time: 1.301s
Iter 290/1000 | Best: -184644800.00 | Time: 1.283s
Iter 300/1000 | Best: -184644800.00 | Time: 1.741s
Iter 310/1000 | Best: -184644800.00 | Time: 1.744s
Iter 320/1000 | Best: -184644800.00 | Time: 1.404s
Iter 330/1000 | Best: -184644800.00 | Time: 1.330s
Iter 340/1000 | Best: -184644800.00 | Time: 1.335s
Iter 350/1000 | Best: -184644800.00 | Time: 1.341s
Iter 360/1000 | Best: -184644800.00 | Time: 1.353s
Iter 370/1000 | Best: -184644800.00 | Time: 1.337s
Iter 380/1000 | Best: -184644800.00 | Time: 1.343s
Iter 390/1000 | Best: -184644800.00 | Time: 1.356s
Iter 400/1000 | Best: -184644800.00 | Time: 1.350s
Iter 410/1000 | Best: -184644800.00 | Time: 1.331s
Iter 420/1000 | Best: -184644800.00 | Time: 1.321s
Iter 430/1000 | Best: -184644800.00 | Time: 1.350s
Iter 440/1000 | Best: -184644800.00 | Time: 1.342s
Iter 450/1000 | Best: -184644800.00 | Time: 1.340s
Iter 460/1000 | Best: -184644800.00 | Time: 1.378s
Iter 470/1000 | Best: -184644800.00 | Time: 1.291s
Iter 480/1000 | Best: -184644800.00 | Time: 1.288s
Iter 490/1000 | Best: -184644800.00 | Time: 1.303s
Iter 500/1000 | Best: -184644800.00 | Time: 1.288s
Iter 510/1000 | Best: -184644800.00 | Time: 1.286s
Iter 520/1000 | Best: -184644800.00 | Time: 1.292s
Iter 530/1000 | Best: -184644800.00 | Time: 1.339s
Iter 540/1000 | Best: -184644800.00 | Time: 1.331s
Iter 550/1000 | Best: -184644800.00 | Time: 1.311s
[ACO] New Best at iter 551: -179835600.00
Iter 560/1000 | Best: -179835600.00 | Time: 1.330s
Iter 570/1000 | Best: -179835600.00 | Time: 1.419s
Iter 580/1000 | Best: -179835600.00 | Time: 1.330s
Iter 590/1000 | Best: -179835600.00 | Time: 1.334s
Iter 600/1000 | Best: -179835600.00 | Time: 1.330s
Iter 610/1000 | Best: -179835600.00 | Time: 1.341s
Iter 620/1000 | Best: -179835600.00 | Time: 1.337s
Iter 630/1000 | Best: -179835600.00 | Time: 1.355s
Iter 640/1000 | Best: -179835600.00 | Time: 1.344s
Iter 650/1000 | Best: -179835600.00 | Time: 1.361s
Iter 660/1000 | Best: -179835600.00 | Time: 1.347s
Iter 670/1000 | Best: -179835600.00 | Time: 1.326s
Iter 680/1000 | Best: -179835600.00 | Time: 1.329s
Iter 690/1000 | Best: -179835600.00 | Time: 1.352s
Iter 700/1000 | Best: -179835600.00 | Time: 1.328s
Iter 710/1000 | Best: -179835600.00 | Time: 1.323s
Iter 720/1000 | Best: -179835600.00 | Time: 1.325s
Iter 730/1000 | Best: -179835600.00 | Time: 1.320s
Iter 740/1000 | Best: -179835600.00 | Time: 1.347s
Iter 750/1000 | Best: -179835600.00 | Time: 1.291s
Iter 760/1000 | Best: -179835600.00 | Time: 1.285s
Iter 770/1000 | Best: -179835600.00 | Time: 1.282s
Iter 780/1000 | Best: -179835600.00 | Time: 1.297s
Iter 790/1000 | Best: -179835600.00 | Time: 1.284s
Iter 800/1000 | Best: -179835600.00 | Time: 1.285s
Iter 810/1000 | Best: -179835600.00 | Time: 1.335s
Iter 820/1000 | Best: -179835600.00 | Time: 1.336s
