开始 10000 代进化 (K=2)...
Generation 50 | Avg Best Fitness (K=2): -712995392.00 | Avg Violations: 1011.50
Generation 100 | Avg Best Fitness (K=2): -637535392.00 | Avg Violations: 881.00
Generation 150 | Avg Best Fitness (K=2): -578846176.00 | Avg Violations: 776.00
Generation 200 | Avg Best Fitness (K=2): -533115008.00 | Avg Violations: 691.50
Generation 250 | Avg Best Fitness (K=2): -491459808.00 | Avg Violations: 614.50
Generation 300 | Avg Best Fitness (K=2): -452772400.00 | Avg Violations: 543.50
Generation 350 | Avg Best Fitness (K=2): -419529216.00 | Avg Violations: 482.00
Generation 400 | Avg Best Fitness (K=2): -390642592.00 | Avg Violations: 426.50
Generation 450 | Avg Best Fitness (K=2): -364660400.00 | Avg Violations: 377.00
Generation 500 | Avg Best Fitness (K=2): -339985600.00 | Avg Violations: 331.00
Generation 550 | Avg Best Fitness (K=2): -319627792.00 | Avg Violations: 292.00
Generation 600 | Avg Best Fitness (K=2): -301415200.00 | Avg Violations: 259.00
Generation 650 | Avg Best Fitness (K=2): -284226592.00 | Avg Violations: 228.00
Generation 700 | Avg Best Fitness (K=2): -270325600.00 | Avg Violations: 201.00
Generation 750 | Avg Best Fitness (K=2): -259589000.00 | Avg Violations: 182.00
Generation 800 | Avg Best Fitness (K=2): -251253600.00 | Avg Violations: 167.00
Generation 850 | Avg Best Fitness (K=2): -244280000.00 | Avg Violations: 153.50
Generation 900 | Avg Best Fitness (K=2): -238037600.00 | Avg Violations: 142.50
Generation 950 | Avg Best Fitness (K=2): -232231000.00 | Avg Violations: 132.50
Generation 1000 | Avg Best Fitness (K=2): -226676800.00 | Avg Violations: 121.50
Generation 1050 | Avg Best Fitness (K=2): -223286000.00 | Avg Violations: 117.00
Generation 1100 | Avg Best Fitness (K=2): -219421400.00 | Avg Violations: 111.50
Generation 1150 | Avg Best Fitness (K=2): -216793400.00 | Avg Violations: 107.50
Generation 1200 | Avg Best Fitness (K=2): -213189200.00 | Avg Violations: 101.50
Generation 1250 | Avg Best Fitness (K=2): -210957600.00 | Avg Violations: 97.50
Generation 1300 | Avg Best Fitness (K=2): -208971800.00 | Avg Violations: 94.50
Generation 1350 | Avg Best Fitness (K=2): -207101000.00 | Avg Violations: 92.50
Generation 1400 | Avg Best Fitness (K=2): -204734400.00 | Avg Violations: 89.00
Generation 1450 | Avg Best Fitness (K=2): -202570800.00 | Avg Violations: 86.00
Generation 1500 | Avg Best Fitness (K=2): -200903200.00 | Avg Violations: 84.00
Generation 1550 | Avg Best Fitness (K=2): -198927800.00 | Avg Violations: 81.50
Generation 1600 | Avg Best Fitness (K=2): -197286600.00 | Avg Violations: 78.50
Generation 1650 | Avg Best Fitness (K=2): -195384200.00 | Avg Violations: 75.50
Generation 1700 | Avg Best Fitness (K=2): -194663400.00 | Avg Violations: 75.50
Generation 1750 | Avg Best Fitness (K=2): -193648000.00 | Avg Violations: 74.50
Generation 1800 | Avg Best Fitness (K=2): -192676400.00 | Avg Violations: 74.00
Generation 1850 | Avg Best Fitness (K=2): -191866800.00 | Avg Violations: 73.50
Generation 1900 | Avg Best Fitness (K=2): -190762400.00 | Avg Violations: 72.00
Generation 1950 | Avg Best Fitness (K=2): -190253800.00 | Avg Violations: 71.50
Generation 2000 | Avg Best Fitness (K=2): -189023800.00 | Avg Violations: 70.00
Generation 2050 | Avg Best Fitness (K=2): -188434600.00 | Avg Violations: 69.50
Generation 2100 | Avg Best Fitness (K=2): -187802200.00 | Avg Violations: 69.00
Generation 2150 | Avg Best Fitness (K=2): -187159200.00 | Avg Violations: 69.00
Generation 2200 | Avg Best Fitness (K=2): -186845000.00 | Avg Violations: 69.00
Generation 2250 | Avg Best Fitness (K=2): -186495800.00 | Avg Violations: 69.00
Generation 2300 | Avg Best Fitness (K=2): -186304200.00 | Avg Violations: 69.00
Generation 2350 | Avg Best Fitness (K=2): -185922600.00 | Avg Violations: 69.00
Generation 2400 | Avg Best Fitness (K=2): -185161000.00 | Avg Violations: 68.00
Generation 2450 | Avg Best Fitness (K=2): -184901000.00 | Avg Violations: 68.00
Generation 2500 | Avg Best Fitness (K=2): -184401400.00 | Avg Violations: 67.50
Generation 2550 | Avg Best Fitness (K=2): -183865600.00 | Avg Violations: 67.50
Generation 2600 | Avg Best Fitness (K=2): -183746000.00 | Avg Violations: 67.50
Generation 2650 | Avg Best Fitness (K=2): -183280600.00 | Avg Violations: 67.00
Generation 2700 | Avg Best Fitness (K=2): -182529800.00 | Avg Violations: 66.00
Generation 2750 | Avg Best Fitness (K=2): -181767400.00 | Avg Violations: 64.50
Generation 2800 | Avg Best Fitness (K=2): -181466200.00 | Avg Violations: 64.50
Generation 2850 | Avg Best Fitness (K=2): -181167400.00 | Avg Violations: 64.50
Generation 2900 | Avg Best Fitness (K=2): -180667400.00 | Avg Violations: 64.50
Generation 2950 | Avg Best Fitness (K=2): -180271600.00 | Avg Violations: 64.50
Generation 3000 | Avg Best Fitness (K=2): -179629200.00 | Avg Violations: 63.50
Generation 3050 | Avg Best Fitness (K=2): -178949600.00 | Avg Violations: 62.50
