(base) preprocess@ps:~/_funsearch/baseline$ CUDA_VISIBLE_DEVICES=3 python /home/preprocess/_funsearch/baseline/测量时间full-GPU实验-Multi-coe.py
✓ 检测到 GPU: NVIDIA GeForce RTX 3090
启动 Megabatch 模式: K=4 (并行实验), B=50 (个体/实验)
总 GPU 批量: 200 个体
✓ 所有数据文件均已找到。
正在导入数据...
成功导入7913患者，共7913个检查

===== 启动并行遗传算法优化 (Megabatch GPU + 协同进化) =====
已生成 4 个并行种群 (每个 50 个个体)，总计 200 个个体
✓ 已生成 4 个初始种群，耗时: 0.9723s

开始 10000 代进化 (K=4)...
Generation 50 | Avg Best Fitness (K=4): -719894592.00 | Avg Violations: 1022.75
Generation 100 | Avg Best Fitness (K=4): -581161408.00 | Avg Violations: 771.50
Generation 150 | Avg Best Fitness (K=4): -485654696.00 | Avg Violations: 592.00
Generation 200 | Avg Best Fitness (K=4): -410881296.00 | Avg Violations: 450.25
Generation 250 | Avg Best Fitness (K=4): -348351904.00 | Avg Violations: 331.75
Generation 300 | Avg Best Fitness (K=4): -305963104.00 | Avg Violations: 250.00
Generation 350 | Avg Best Fitness (K=4): -275348496.00 | Avg Violations: 193.00
Generation 400 | Avg Best Fitness (K=4): -252207800.00 | Avg Violations: 149.50
Generation 450 | Avg Best Fitness (K=4): -236852000.00 | Avg Violations: 121.00
Generation 500 | Avg Best Fitness (K=4): -228027400.00 | Avg Violations: 104.75
Generation 550 | Avg Best Fitness (K=4): -221197700.00 | Avg Violations: 94.50
Generation 600 | Avg Best Fitness (K=4): -216208800.00 | Avg Violations: 86.00
Generation 650 | Avg Best Fitness (K=4): -211537600.00 | Avg Violations: 78.50
Generation 700 | Avg Best Fitness (K=4): -208054000.00 | Avg Violations: 73.00
Generation 750 | Avg Best Fitness (K=4): -204714600.00 | Avg Violations: 67.25
Generation 800 | Avg Best Fitness (K=4): -201202700.00 | Avg Violations: 62.50
